"TOKEN";"REFTEXT"
"C_CTACT";"CONTACTS"
"C_TEAM";"ALLIES"
"CatPow";"%1 #transparent{(%2)}"
"CptTour";"TURNS: %1"
"DES_DE_NOT";"No transport"
"DES_UE_TR";"SELECT TRANSPORT"
"DES_VALUE";"%1"
"DETAIL_BTN";"Details"
"DSI_ADBtn";"AUTO DEPLOY"
"DSI_ADHB";"Allows the AI to deploy all units for you. The button is grayed out when you have no more Command Points."
"DSI_ADHE";"Once the automatic deployment by the AI is finished, do not hesitate to remove and modify units deployed. You can also start by placing units manually and then ask the AI to complete your deployment."
"DSI_ADHT";"Auto Deployment"
"DSI_CLOSE";"Close"
"DSI_IA";"AI"
"DSI_STitle";"BATTLE"
"DSI_Title2";"DEPLOYMENT PHASE"
"DSI_X";"X"
"DSI_exe";"3. EXECUTION"
"DSI_loc";"Location"
"DSI_mis";"2. MISSION"
"DSI_sit";"1. SITUATION"
"DSI_sitE";"Enemy forces"
"DSI_sitf";"Friendly forces"
"DSI_warno";"WARNING ORDER"
"DSORT_BTN";"SORT"
"DYTVXJJXIQ";"Indirect fire.
Corrected shots are extremely accurate.
The weapon requires the vehicle to be stationary in order to aim and fire."
"DefStre";"DEFENSE STRENGTH"
"EAAVVQBQBO";"Kinetic"
"EDITDECK";"EDIT BATTLEGROUP"
"ENDSTCOMMA";"COMMANDERS"
"ENDSTLOCCT";"LOCATIONS CONTROLLED"
"ENDSTSTRGT";"STRENGTH"
"ENDSTUNINV";"UNITS INVOLVED"
"ENDST_AIRC";"%1 aircraft"
"ENDST_AVHC";"%1 armored vehicles"
"ENDST_GUNS";"%1 guns"
"ENDST_SOLD";"%1 soldiers"
"ENDST_TANK";"%1 tanks"
"ER_ADV";"ADVANCE"
"ER_ADVHN";"HUNT"
"ER_ADVMV";"MOVE"
"ER_APLE";"SAVE AND APPLY TO ALL"
"ER_AR";"AUTO RESALE"
"ER_ARN";"OFF"
"ER_ARY";"ON"
"ER_GM";"MISSILE RESTRICTIONS"
"ER_GMTT";"PASSENGERS"
"ER_ID";"IDLE"
"ER_IDCO";"COVER"
"ER_IDHO";"HOLD POSITION"
"ER_IDNO";"NOTHING"
"ER_OS";"OUT-OF-RANGE REACTION"
"ER_OSA";"AGGRESSIVE"
"ER_OSD";"DEFENSIVE"
"ER_OSP";"PASSIVE"
"ER_OSS";"USE SMOKE"
"ER_ROE";"ROE"
"ER_SAVE";"SAVE AS DEFAULT"
"ER_SM";"ON FOOT PATHFIND"
"ER_SMCO";"COVER"
"ER_SMSH";"SHORT"
"ER_TITLE";"ENGAGEMENT RULES"
"ER_UR";"MOTORIZED PATHFIND"
"ER_URFA";"FAST"
"ER_URSH";"SHORT"
"ER_UV";"UNARMED VEHICLE"
"ER_UVFW";"FIRE AT WILL"
"ER_UVHF";"HOLD FIRE"
"EXIT_BTN";"QUIT"
"FBXRVZBVFG";"STATIC"
"FKERNZHZHY";"Cluster"
"FRM_PLUS";"+%1"
"FVZWPYWRWX";"The tandem-charged HEAT round is specifically designed to penetrate explosive reactive armor (ERA) using dual-charge warheads. Penetration is increased by +1 against ERA-equipped units."
"FWYEZTDXZK";"An automated mechanical system that handles the loading of ammunition into a main weapon.The system requires little to no human intervention when operational, but can malfunction. Autoloaders allow for consistent loading times without being affected by a crew's stress."
"GIQBDXUCJM";"Tandem"
"GS_NORMAL";"STANDARD SPEED"
"GVIOFFUZMV";"---"
"HCT_ALLBUB";"All players will be able to read your messages."
"HCT_ALLBUT";"CHAT ALL"
"HCT_ALYBUB";"Only players from your team will be able to read your messages."
"HCT_ALYBUT";"CHAT ALLIES"
"HCT_CLRBUB";"Remove all chat texts."
"HCT_CLRBUT";"CLEAR SCREEN"
"HCT_CONBUB";"Only the selected player in the opposite list will be able to read your messages."
"HCT_CONBUT";"CHAT CONTACT"
"HCT_DFTSIB";"Decrease the chat font's size."
"HCT_DFTSIT";"DECREASE SIZE"
"HCT_IFTSIB";"Increase the chat font’s size."
"HCT_IFTSIT";"INCREASE SIZE"
"HDB_SAVEB";"Save your changes."
"HDB_SAVET";"SAVE"
"HFL_ATTACB";"Place an ATTACK beacon on the map. Only your team can see this."
"HFL_ATTACT";"ATTACK BEACON"
"HFL_CUSMEB";"Write a CUSTOM MESSAGE and place it on the map as a beacon. Only your team can see this."
"HFL_CUSMET";"CUSTOM MESSAGE"
"HFL_DEFENB";"Place a DEFENSE beacon on the map. Only your team can see this."
"HFL_DEFENT";"DEFENSE BEACON"
"HFL_HELPB";"Place a HELP beacon on the map to ask for support. Only your team can see this."
"HFL_HELPT";"HELP BEACON"
"HFL_SuppB";"Place a REQUEST FIRE SUPPORT beacon on the map to ask for a fire mission from your team. Only your team can see this."
"HFL_SuppT";"REQUEST FIRE SUPPORT"
"HFL_recoB";"Place a ENEMY SPOTTED beacon on the map to mark a sighted enemy unit or position. Only your team can see this."
"HFL_recoT";"ENEMY SPOTTED"
"HIAUF_BTN";"AUTO FILL"
"HIGRP_BTN";"EDIT COMBAT GROUPS"
"HIPW_am";"Indicates the weapon's caliber (in milimeters) or the type of ammunition."
"HIPW_amn";"Shows the remaining ammuntion out of the total carried by the weapon."
"HIPW_amt";"Ammunition Information"
"HIP_DISPB";"Display or Hide the transport unit's information panel."
"HIP_DISPT";"Transport"
"HIP_UCOSTB";"Cost to deploy the unit in Command Points."
"HIP_UCOSTT";"Unit cost"
"HIP_UNAMEB";"Displays the selected unit's name."
"HIP_UNAMET";"UNIT"
"HIP_UNUMB";"Indicates the number of individual units featured on a unit card. Note that Veterancy changes this number."
"HIP_UNUMT";"Available units"
"HLB_BUTTOB";"Once you have finished deploying your units, click to start the game."
"HLB_BUTTOE";"When playing multiplayer, the game won't start until every player has hit the LAUNCH button, or when the countdown timer runs out."
"HLB_BUTTOT";"LAUNCH BATTLE"
"HNB_FORAA";"Deploying an anti-aircraft unit costs 4 AP. The battalion will remain in this state until moved.

During an opponent's turn, the unit's defense systems can prevent an enemy air squadron from taking part in one attack against an allied unit in the blue anti-air zone, with the potential of inflicting damage. SEAD squadrons are unaffected."
"HNT_ADVHNB";"The unit searches for targets. It will stop as soon as it finds itself within range of an enemy."
"HNT_ADVMVB";"The unit moves first and foremost, and will not stop to open fire on an enemy target."
"HNT_AIAAA";"Gives the computer full authority to launch the selected aircraft on targets of opportunity."
"HNT_AIARA";"Delegates command of the selected #bold{artillery} unit(s) to the computer. They have total freedom of initiative to target any spotted unit within the artillery's range of fire."
"HNT_AIARC";"Delegates command of the selected #bold{artillery} unit(s) to the computer. They receive freedom of initiative to fire but #bold{only} in counter-battery role, targeting only known or detected enemy artillery positions."
"HNT_AIARF";"Delegates command of the selected #bold{artillery} unit(s) to the computer. They receive freedom of initiative to fire at any target spotted in or close to the designated zone."
"HNT_AIATT";"Delegates command of the selected unit(s) to the computer. They receive total freedom of initiative to engage any enemy near their destination. The selected unit(s) will automatically switch to #bold{HOLD POSITION} stance when all threats have been dealt with."
"HNT_AIDEF";"Delegates command of the selected unit(s) to the computer. They receive freedom of initiative to hold their position and redeploy to the best defensive positions close to them."
"HNT_AISTO";"Return control of selected unit(s) to you. The computer will stop giving them orders."
"HNT_AISUP";"Delegates command of the selected #bold{supply} unit(s) to the computer. They receive freedom of initiative to supply at any target spotted."
"HNT_ARNB";"The transport will not be automatically sold."
"HNT_ARYB";"The transport will be automatically sold when finished transporting its passengers or towed units."
"HNT_ATTACK";"Orders the unit(s) to destroy a target, or to move to the selected position, but stop and engage if an enemy unit is sighted."
"HNT_CHGALT";"Order helicopters to switch between Very Low and Low altitude. Cannot be cancelled."
"HNT_ENHIB";"Hide the Engagement panel."
"HNT_ENHIT";"HIDE PANEL"
"HNT_ERAPLB";"Save the current setting as the default for all new and existing units."
"HNT_ERAPLT";"SAVE AS DEFAULT AND APPLY TO ALL UNITS"
"HNT_ERSAVB";"Save the current setting as the default for all new units."
"HNT_ERSAVT";"SAVE AS DEFAULT"
"HNT_EVAC";"Orders the aircraft to evacuate back to base.
Cannot be cancelled."
"HNT_FORAA";"Order the battalion to deploy its anti-aircraft forces to deny the area to any enemy aircraft."
"HNT_FSTATK";"Orders the unit(s) to destroy a target, or to move fast to the selected position using roads, but stop and engage if an enemy unit is sighted."
"HNT_IDCOB";"The unit is looking for the nearest cover.
"
"HNT_IDHOB";"The unit shifts into ""Hold Position"" mode."
"HNT_IDNOB";"The unit does nothing."
"HNT_LAND";"Orders the helicopter(s) to land.
Cannot be cancelled."
"HNT_MOVE";"Orders the unit(s) to move to the selected position."
"HNT_NEXTUB";"Go to the next unit without orders. You can cycle through all idle units by continuing to click."
"HNT_NEXTUT";"NEXT UNUSED UNIT"
"HNT_OSAB";"When under fire, but outranged, the unit will try to retaliate if advantageous - or pull back otherwise."
"HNT_OSAT";"When shot and outranged: aggressive reaction."
"HNT_OSDB";"When under fire, but outranged, the unit will try to pull back, or find the nearest cover."
"HNT_OSDT";"When shot and outranged: defensive reaction."
"HNT_OSPB";"When under fire, but outranged, the unit will remain inactive."
"HNT_OSPT";"When shot and outranged: passive reaction."
"HNT_OSSB";"The unit may automatically use its smoke ammunition in defensive mode"
"HNT_OSST";"Smoke usage in defensive behavior."
"HNT_QKMOVE";"Orders the unit(s) to use the road network to travel to their destination as fast as possible."
"HNT_RIPOS";"Set the unit in return fire mode. They won't fire unless fired upon."
"HNT_RVRSE";"Orders the unit(s) to reverse to the selected position."
"HNT_SELL";"Sell the unit for a fair price!"
"HNT_SHOPOS";"Orders the unit(s) to fire at the selected position, even without a visible target. Especially useful for artillery units."
"HNT_SMCOB";"A unit on foot moves from cover to cover, if possible. The movement might take longer, but is also safer."
"HNT_SMMOVE";"Orders the unit(s) to move to a position, using the safest path possible."
"HNT_SMOKD";"Orders the unit(s) to deploy a defensive smoke screen in front of the unit.  "
"HNT_SMOKE";"Orders the unit(s) to fire smoke shells at a position. This action doesn't need a line of sight on the target."
"HNT_SMSHB";"A unit on foot moves in a straight line, ignoring any cover nearby."
"HNT_STOP";"Orders the unit(s) to stop immediately."
"HNT_UNLDAT";"Orders any unit as a passenger of the selected transport to dismount at the position.

Press ""U"" to unload the unit immediately."
"HNT_UNLDFT";"Orders any unit as a passenger of the selected transport to unload immediately."
"HNT_URFAB";"A vehicle is allowed to use the road if the journey is faster."
"HNT_URSHB";"A vehicle looks for the shortest route, not the fastest route. In this case, the vehicle will not use roads."
"HNT_WAITUB";"The unit will do nothing until the next turn. It won't appear in the idle unit list. Clicking on this button again will cancel the wait order."
"HNT_WAITUE";"You can use this button to mark which unit should do nothing this turn. Units that can no longer attack or defend in the turn are automatically considered ""used""."
"HNT_WAITUT";"WAIT UNTIL NEXT TURN"
"HOM_EVAB";"Orders the aircraft to evacuate to their air base. Cannot be cancelled."
"HOM_EVAT";"EVACUATE"
"HOM_STATE";"READY means the aircraft can be deployed immediately."
"HOM_STATT";"STATUS"
"HOM_TITLEB";"Displays the off-map aircraft which can be called in. It also shows their status and availability."
"HOM_TITLEE";"Once called in and available, planes are under your control for as long as they have enough fuel or ammo. If they suffer too much damage in flight, they will be forced to return to base."
"HOM_TITLET";"OFF-MAP ASSETS"
"HOM_UNNAMB";"Displays the off-map asset's name and type."
"HOM_UNNAMT";"ASSET"
"HPD_CHRONT";"INCOME COUNTDOWN"
"HPD_INCT";"INCOME"
"HPD_UACSTB";"Indicates only the price of the dismounted unit in Command Points."
"HPD_UACSTE";"The cost given is for the dismounted unit only."
"HPD_UACSTT";"DISMOUNTED UNIT PRICE"
"HPD_UCOSTB";"Indicates the unit's price in Command Points."
"HPD_UCOSTE";"In the case of an infantry unit the base price is without the cost of a #U1{transport vehicle}. Once added to your Battlegroup, the price will show the deployment cost of both infantry and transport unit together."
"HPD_UEXPB";"Depending on the unit type, Veterancy improves various stats such as Accuracy, Morale, Rate of Fire, Optics, etc."
"HPD_UEXPE";"No chevron indicates #bold{reservists}, often lacking training and equipment.
One chevron indicates #bold{trained soldiers}.
Two chevrons indicates #bold{veteran soldiers} experienced in combat.
Three chevrons indicates #bold{elite soldiers} and special forces."
"HPD_UEXPT";"VETERANCY"
"HPD_UNBB";"Indicates the number of units in a Pack."
"HPD_UNBT";"UNIT NUMBER"
"HPH_NXPHSB";"Time remaining before the game enters the next combat phase."
"HPH_NXPHSE";"Phase (A) involves light units locating the enemy, fixing in place and securing key positions.
Phase (B) unlocks medium units to engage the enemy and try to push the frontline.
Phase (C) unlocks the heaviest units allowing for full-scale battle."
"HPH_NXPHST";"PHASE COUNTDOWN"
"HPH_TIME_B";"Time remaining before the end of the game if no side wins on points."
"HPH_TIME_E";"Once the game's time limit has elapsed, victory is decided by which side has scored the most points."
"HPH_TIME_T";"GAME COUNTDOWN"
"HPROD_ACST";"%1"
"HPROD_CMDI";"+ %1"
"HPROD_CMDP";"%1"
"HPROD_NBU";"%1"
"HPROD_NBUB";"[%1]"
"HPROD_NBUX";"x"
"HQHPIJEOCJ";"High Off-Boresight Capability.
Fire-and-forget missiles that can acquire targets directly from the pilot’s helmet sight, allowing a much wider angle for target lock and launch."
"HRBXYPYRVJ";"Active Protection System"
"HRP_HDHUDB";"Hide all HUD elements."
"HRP_HDHUDT";"HIDE HUD"
"HRP_HDPNB";"Hide panel elements."
"HRP_HDPNT";"HIDE PANEL"
"HSL_NAMEB";"Displays the squad leader or vehicle commander's name."
"HSL_NAMEE";"You can identify an individual unit's combat performance in the after-action briefing."
"HSL_NAMET";"LEADER"
"HSL_ORDERB";"Displays all the active orders of all your units."
"HSL_ORDERT";"SHOW ALL ORDERS"
"HSL_Roeb";"Opens the Rules of Engagement menu, letting you configure unit behavior."
"HSL_Roet";"OPEN RULES OF ENGAGEMENT"
"HSL_ULOSBB";"Display the line of sight (LoS) of the selected unit."
"HSL_ULOSBE";"Press and hold the key (default, 'C') to display the LoS of any point on the battlefield."
"HSL_ULOSBT";"SHOW LINE OF SIGHT"
"HSL_WGAUGB";"Status is either READY, AIMING, FIRING or RELOADING."
"HSL_WGAUGE";"AIMING and RELOADING display a gauge acting as a timer."
"HSL_WGAUGT";"WEAPON STATUS"
"HSL_chatb";"Talk to teammates or other players."
"HSL_chatt";"OPEN CHAT"
"HSL_wrnb";"Allows you to view the details of the battle, including income and forces involved."
"HSL_wrnt";"SHOW WARNING ORDER"
"HTP_SPDFAB";"Accelerates the game to #bold{x2} normal speed."
"HTP_SPDFAT";"FAST"
"HTP_SPDPAB";"Pause the game. During this active pause, you can still #cyan{give orders} to your units. They will follow them when resuming play."
"HTP_SPDPAT";"ACTIVE PAUSE"
"HTP_SPDPLB";"Play the game at normal speed."
"HTP_SPDPLT";"PLAY"
"HTP_SPDSLB";"Slows the game to #bold{x0.33} normal speed."
"HTP_SPDSLT";"SLOW"
"HTP_SPVFAB";"Accelerates the game to #bold{x3} normal speed."
"HTP_SPVFAT";"VERY FAST"
"HUD_ARMOR";"ARMOR"
"HUD_PRDDCK";"BATTLEGROUP"
"HUD_PRDGRP";"GROUPS"
"HUETOQPSPZ";"Close range weapon"
"INEEJCQGOC";"Fire and forget"
"JFFKFKSMEO";"An indirect fire weapon requires the unit to be stationary in order to aim and fire."
"JQXETMKFMA";"Anti-radiation"
"KBXTNDMOYQ";"Remote controlled weapon are equipped with a fire control system. This allows the operator to remain inside the vehicle while firing."
"KKWEDNOPPT";"Indirect"
"LBS_BUSY";"Order in progress!"
"LBS_FLEE";"Fleeing"
"LBS_OOC";"Disorganized!"
"LFQJFSOQGY";"A High-Explosive Anti-Tank (HEAT) shell or missile uses a shaped-charged explosive warhead capable of piercing armor. Because the penetration performance relies on the warhead's explosive energy rather than its kinetic energy, HEAT munitions do not need to be launched at high speed. The projectile does not lose power over distance."
"LKUBBCAHPR";"Unarmed"
"LNXSVBNZLF";"Incendiary"
"LOD_hint";"Check a target unit's Stealth against your unit’s Optics."
"LOD_hinte";"The feedback displayed around the unit indicates where it can shoot and where it can spot a hidden enemy with the selected Stealth setting. Visibility depends on the Optics of your unit, the Stealth of the enemy and the type of cover."
"LR_cmd";"Command Points"
"LR_cmdAI";"Distribution of Command Points"
"LR_incob";"Indicates the number of Command Points awarded at the end of the timer (displayed on the right)"
"LR_player";"Displays the list of players and their respective scores"
"LR_score";"Score value needed to win"
"LR_sect";"COMMAND ZONES AND VALUES"
"LR_sectB";"The value on the left (blue) and right (red) indicates the total of points of Command Zones secured by each team.The middle value specifies the number of points of any neutral zones not captured yet."
"LR_timeB";"Indicates the time remaining before receiving the Command Points specified on the left"
"LSBTLFT";"%1 Battles fought"
"LSDAYS";"%1 Days"
"LSPERC";"%1%%"
"LSWXGNQREO";"The weapon requires the unit to be stationary in order to aim and fire."
"LS_air";"AIRCRAFT"
"LS_art";"ARTILLERY"
"LS_bat";"BATTALIONS"
"LS_helico";"HELICOPTERS"
"LS_sol";"SOLDIERS"
"LS_support";"SUPPORT"
"LS_tank";"TANKS"
"LZXIDHDYLP";"A kinetic eneregy penetrator is a type of ammunition designed to punch through armor with ultra-dense, high-speed dart-like projectiles. Typically known as armor-piercing fin-stabilized discarding sabot (APFSDS) projectiles, they lack explosive charges, instead using kinetic energy to penetrate enemy armor and inflict damage."
"MCNEDZAYTO";"Tripod"
"MISTHDBINN";"Demolition "
"MWMJSNAVAC";"High Off-Boresight Capability"
"MapOvrvw";"TACTICAL MAP OVERVIEW"
"NATO_Nat";"NATO"
"NDZBSGPUCF";"Incendiary munitions such as napalm are designed to destroy vehicles and personnel through intense and long-lasting fires. This type of munition also burns wide areas, blocking the terrain for some time."
"NXIZYXLVUH";"The tripod offers a much greater stability weapon platform. Weapons mounted on tripods are more accurate and have a higher rate of fire."
"OBJ_NEWI";"Information"
"OF_INF";"#stealth GOOD"
"OF_INFR";"#stealth EXCEPTIONAL"
"OF_TITLE";"ENEMY STEALTH DISPLAY"
"OF_VEHI";"#stealth BAD"
"OF_VEHIR";"#stealth MEDIOCRE"
"OK_BTN";"OK"
"OMTVAWUGGA";"Semi-active Radar"
"ORD_AIAAA";"AUTO STRIKE"
"ORD_AIARA";"FIRE AT WILL"
"ORD_AIARC";"COUNTER BATTERY"
"ORD_AIARF";"DEFENSIVE FIRE"
"ORD_AIATT";"SEIZE"
"ORD_AIATTS";"S"
"ORD_AIDEF";"HOLD POSITION"
"ORD_AISTO";"RETRIEVE"
"ORD_AISUP";"AUTO SUPPLY"
"ORD_ATTACK";"HUNT"
"ORD_CHGALT";"CHANGE ALT."
"ORD_EVAC";"EVAC"
"ORD_FSTATK";"QUICK HUNT"
"ORD_LAND";"LAND"
"ORD_MOVE";"MOVE"
"ORD_QKMOVE";"MOVE FAST"
"ORD_RIPOS";"RETURN FIRE"
"ORD_RVRSE";"REVERSE"
"ORD_SELL";"SELL"
"ORD_SHOPOS";"FIRE POS"
"ORD_SMMOVE";"SMART MOVE"
"ORD_SMOKD";"SMOKE"
"ORD_SMOKE";"SMOKE POS"
"ORD_STOP";"STOP"
"ORD_UNLDAT";"UNLOAD AT POSITION"
"ORD_UNLDFT";"UNLOAD"
"OTIZHIZOBS";"ERFB"
"Obj_ti";"OBJECTIVE"
"Obj_ti2";"
OBJECTIVES
"
"PACT_Nat";"PACT"
"PALYIYEIFQ";"MOTION"
"PDRZVSAGPW";"The most common shell type is high explosive, commonly referred to as HE. High explosive uses a combination of shockwave, fire, and shell fragments to damage and destroy vehicles and personnel."
"PESOLAOLMA";"Thermobaric"
"PIU_weap";"WEAPONS"
"PIVEC";"UNIT CHARACTERISTICS"
"PSELT_TK2";"TOTAL COMMAND VALUE: %1/450"
"PXYUWPBJKW";"Anti-Radiation Missile. The missile automatically detects and homes in on enemy radar emissions."
"PrC_arts";"ARTILLERY SUPPORT"
"PrC_as";"AIR SUPPORT"
"PrC_aux";"AUXILIARY"
"PrC_auxb";"Reserved slot for Auxiliary Battalions:
-  #CMD command battalions
- #HELO combat helicopter squadrons
- #RECO1 reconnaissance
- #ASSAUT engineers
- #AT anti-tank
- #AA anti-aircraft
- #INF security troops"
"PrC_cb";"COMBAT BATTALIONS"
"PrC_cc";"COMMAND POINTS"
"PrC_in1";"Command Points:"
"PrC_in12";"Command Points:"
"PrC_in2";"Command Points per minute:"
"PrC_in22";"Command Points per minute:"
"PrC_stan";"MAIN"
"PrC_stanb";"Reserved slots for Main Combat Battalions:
- #ARMOR tank battalions
- #IFV armored infantry battalions
- #APC mechanized infantry battalions"
"PrC_tert";"COMBAT ENVIRONMENT"
"ProdPacB";"Indicates the number of Packs available. Each Pack contains a number of units."
"ProdPacT";"Number of Packs"
"QCTXUKECOO";"The weapon can be aimed and fired while moving."
"QFIIKTBKXG";"This unit is equipped with an Active Protection System, designed to intercept incoming guided missiles with hard-kill defensive charges. The device’s narrow engagement envelope and number of charges limits the system's effectiveness.

Active Protection System protects its host unit only against guided missiles within a short interception range in a narrow 180° forward arc. The defensive charges can damage nearby friendly infantry."
"QQRLFIVQTW";"Anti-air low"
"QTKHHMBUHB";"High explosive"
"RCAGNLPFSQ";"Semi-Active Guidance. Can be fired while moving, but the missile's trajectory might be heavily affected."
"ROE_adhb";"Allows you to define the unit's automatic behavior when advancing. Either the unit advances to the target position at all costs, or it interrupts its movement to attack any spotted enemy in range."
"ROE_adht";"Standard operating procedure when advancing to a position"
"ROE_adv_b";"Allows you to define the unit's automatic behavior when advancing.

#cyan{HUNT}: the unit searches for targets. It will stop as soon as it finds itself within range of an enemy.
#cyan{MOVE}: the unit moves first and foremost, and will not stop to open fire on an enemy target."
"ROE_adv_t";"ADVANCING TO POSITION"
"ROE_foot";"STANDARD PROCEDURE FOR MOVING INFANTRY PLATOONS"
"ROE_foot_b";"Allows you to define how infantry moves. Either the squad or team advances from cover to cover, or they move in a straight line. 

#cyan{COVER}: a unit on foot moves from cover to cover, if possible. The movement might take longer, but is also safer.
#cyan{SHORT}: a unit on foot moves in a straight line, ignoring any cover nearby."
"ROE_foot_t";"MOVING INFANTRY"
"ROE_footb";"Defines how infantry should move. Either the unit advances from cover to cover, or they move in a straight line."
"ROE_idle";"STANDARD PROCEDURE WHEN THE UNIT IS INACTIVE"
"ROE_idle_b";"Allows you to define the unit's automatic behavior when stopped and inactive.

#cyan{COVER}: the unit looks around for the nearest cover. If there is multiple options, it will choose the cover offering the best protection.
#cyan{NOTHING}: the unit does nothing and stays exactly in same position.
#cyan{HOLD POSITION}: delegates command of the selected unit(s) to the computer. It receives freedom of initiative to hold their position and redeploy to the best defensive positions close to them."
"ROE_idle_t";"INACTIVE BEHAVIOR"
"ROE_idleb";"Allows you to define the automatic behavior of an inactive unit. Either the idle unit does nothing, searches for cover in the immediate vicinity, or switches to the ""Hold Position"" Smart Order."
"ROE_mhf";"The unit uses all its weapons, including missiles, against armed transports."
"ROE_mhh";"The unit never uses its missiles against armed transports."
"ROE_miss";"MISSILE RESTRICTIONS AGAINST TRANSPORTS"
"ROE_miss_b";"Allows you to define whether or not a unit is authorized to fire missiles against enemy transports.

#cyan{PASSENGER}: the unit is allowed to fire only if the transport contains passengers.
#cyan{HOLD FIRE}: the unit is not allowed to fire.
#cyan{FIRE AT WILL}: unit is allowed to fire in all cases."
"ROE_miss_t";"MISSILE USE AGAINST TRANSPORTS"
"ROE_missb";"Defines whether the unit is allowed to use its missiles against ground or air transport units."
"ROE_mnef";"The unit uses all its weapons, including missiles, against non-empty transports."
"ROE_move_b";"Allows you to define the vehicle's automatic behavior when choosing a route to reach a position.

#cyan{FAST}: the vehicle will use the road network to reach its destination as quickly as possible.
#cyan{SHORT}: the vehicle moves in a straight line to the indicated position, including cross-country. Only buildings and other impassable obstacles will deviate the unit from its course."
"ROE_move_t";"CHOOSING A ROUTE"
"ROE_movhb";"Allows you to define the unit's automatic behavior when choosing the route to reach a position. Either the unit uses the road network to travel fast, or the unit moves cross-country to the target position."
"ROE_movht";"Standard operating procedure when choosing a route"
