"TOKEN";"REFTEXT"
"LOGIN_WAI";"잠시 기다려 주십시오..."
"LP_Intro";"EugNet 계정으로 온라인 플레이를 이용하고
 Eugen Systems 게임의 친구 목록 및 온라인 채팅과 같은 소셜 기능에 접근할 수 있습니다.

 EugNet 계정이 없다면 생성을 클릭하십시오."
"LS_Active";"활성"
"LS_DETAILS";"세부 정보"
"LS_Dur";"소요 시간"
"LS_Name";"이름"
"LS_Players";"플레이어"
"LS_Rating";"평점"
"LS_Result";"결과"
"LS_Size";"크기"
"LS_Types";"유형"
"LVLNOW";"#bleuvariable{%1}"
"MP_RANKED";"랭크 게임"
"MSSCBTRUL";"규칙"
"MSSCBTRULh";"시나리오에 적용되는 규칙을 표시합니다."
"MSSDENSIT";"밀도"
"MSSDENSITh";"전장에 존재하는 숲, 도시, 건물 등 방어 지형 요소의 밀도를 표시합니다."
"MSSLISSCEN";"시나리오 목록"
"MSSMAPSIZ";"크기"
"MSSMAPSIZF";"맵 크기"
"MSSMAPSIZh";"시나리오가 진행되는 플레이 가능 구역의 크기를 나타냅니다."
"MSSNAME";"맵 이름"
"MSSNBPLAY";"플레이어"
"MSSNBPLAYF";"플레이어 수"
"MSSNBPLAYh";"이 시나리오에 권장되는 플레이어 수를 나타냅니다."
"MSSRANKED";"랭크"
"MSSRANKEDF";"랭크 맵"
"MSSRANKEDh";"해당 시나리오가 경쟁전에 적합한지 표시합니다. 해당되는 경우 랭크 멀티플레이 경기에서 무작위로 선택될 수 있습니다."
"MSSRIVERS";"강"
"MSSRIVERSh";"적군에 도달하기 위해 강을 건너야 하는 시나리오인지 표시합니다."
"M_CoAutSet";"WARNO에 오신 것을 환영합니다.

컴퓨터 사양에 맞춰 그래픽 옵션을 자동으로 최적화합니다. 몇 초 동안 화면이 깜빡일 수 있습니다."
"M_LOADING";"불러오는 중..."
"M_SAVING";"저장 중..."
"NATO";"NATO"
"NBPLYRMAX";"/%1"
"NEXTLEVEL";"다음 레벨: #bleuvariable{%1}"
"NRDY_SLOT";"준비 안 됨"
"NV_BACK";"뒤로"
"NV_CREATE";"생성"
"NV_LEAVE";"나가기"
"NV_SELECT";"선택"
"OC_BL";"플레이어 음소거 [%1]"
"OC_BLCHAN";"채널 음소거 [%1]"
"OC_CNTCTS";"최근 연락 상대 [%1]"
"OC_FRIENDS";"온라인 친구 [%1]"
"OC_GLOBAL";"전체 채널"
"OC_HADD";"최근 연락 상대에서 선택한 사용자에게 친구 요청을 보냅니다."
"OC_HCLR";"채팅 기록을 지웁니다."
"OC_HTADD";"친구 추가"
"OC_HTBL";"음소거"
"OC_HTCLR";"화면 지우기"
"OC_HTTBL";"현재 로비 또는 선택한 플레이어를 음소거 목록에 추가하거나 제거합니다. 해당 플레이어가 보내는 모든 메시지가 필터링됩니다."
"OC_chan";"채널 변경"
"ODL_COPYBB";"전투단 하나를 복제합니다."
"ODL_COPYBT";"전투단 복사"
"ODL_CREABB";"빈 상태에서 새 전투단을 만듭니다."
"ODL_CREABT";"전투단 생성"
"ODL_DckCod";"전투단 코드"
"ODL_EDITBB";"기존 전투단을 열어 수정합니다."
"ODL_EDITBT";"전투단 편집"
"ODL_EXPOBB";"전투단을 공유하기 위한 전용 코드를 생성합니다."
"ODL_EXPOBE";"이 코드 문자열을 사용해 친구나 커뮤니티와 전투단을 공유할 수 있습니다. 상대방은 이 코드를 사용하여 자신의 목록으로 전투단을 가져올 수 있습니다."
"ODL_EXPOBT";"전투단 내보내기"
"ODL_IMPOBB";"전용 코드를 사용하여 외부 전투단을 목록에 추가합니다."
"ODL_IMPOBE";"전투단을 가져오려면 코드 문자열을 입력란에 붙여 넣은 뒤 이름을 지정하십시오."
"ODL_IMPOBT";"전투단 가져오기"
"ODL_RENABB";"전투단의 이름을 변경합니다."
"ODL_RENABT";"전투단 이름 변경"
"ODL_RMVBB";"목록에서 전투단을 영구적으로 삭제합니다."
"ODL_RMVBT";"전투단 삭제"
"ODL_SELEBB";"전투단을 선택합니다."
"ODL_SELEBT";"전투단 선택"
"ODO_ATFILB";"이 전투단을 유닛으로 자동 편성합니다."
"ODO_ATFILE";"첫 전투단을 만드는 데 효율적인 방법입니다. 이 기능으로 전투단을 빠르게 만든 다음 유닛 구성을 직접 조정할 수도 있습니다. "
"ODO_ATFILT";"전투단 자동 편성"
"ODO_DSORTB";"전투단 유닛을 비용순으로 정렬합니다."
"ODO_DSORTT";"전투단 정렬"
"OES_CNTINB";"게임으로 돌아갑니다."
"OES_CNTINT";"계속"
"OES_EXITB";"게임을 종료합니다. 저장하지 않은 진행 상황은 사라집니다."
"OES_EXITT";"나가기"
"OES_GUIDB";"현재 게임 모드의 매뉴얼을 표시합니다."
"OES_GUIDT";"매뉴얼"
"OES_LOADB";"이전에 저장한 게임을 불러옵니다. 현재 게임은 종료됩니다."
"OES_LOADT";"게임 불러오기"
"OES_OPTNSB";"옵션 화면으로 이동합니다. 현재 게임은 종료되지 않습니다."
"OES_OPTNST";"옵션"
"OES_RSTRTB";"임무를 처음부터 다시 시작합니다."
"OES_RSTRTT";"다시 시작"
"OES_SAVEB";"현재 게임을 저장합니다. 게임은 종료되지 않습니다."
"OES_SAVET";"게임 저장"
"OLB_ADDFDB";"선택한 플레이어에게 친구 요청을 보냅니다."
"OLB_ADDFDT";"친구 추가"
"OLB_CNTRY";"국가"
"OLB_INVICB";"친구와 공유할 수 있는 초대 코드를 표시합니다."
"OLB_LEAVEB";"이전 화면으로 돌아갑니다."
"OLB_LEAVET";"로비 나가기"
"OLB_SWTCHB";"한 팀에서 다른 팀으로 전환합니다."
"OLB_SWTCHE";"AI도 다른 팀으로 옮길 수 있습니다."
"OLB_SWTCHT";"팀 변경"
"OPEN_SLOT";"열림"
"OP_GM_N";"난이도:"
"OP_NAME";"작전"
"OP_PARAMS";"게임 설정"
"OP_TITLE";"이름"
"PACT";"PACT"
"PLUSFORMAT";"+ %1"
"QCK_PLAYN";"%1"
"QCK_Sep";"/"
"QCK_Tlt";"빠른 서버 목록"
"QCK_type";"서버 유형"
"RANKG_ELAP";"경과 시간:"
"RANKG_SEAR";"랭크 게임 검색 중"
"READY_SLOT";"준비됨"
